iter	Logloss
0	0.6326479849
1	0.5818805996
2	0.5389614968
3	0.5032379656
4	0.4723779956
5	0.4460306058
6	0.4228951452
7	0.402572176
8	0.3847410672
9	0.3684349719
10	0.3541462077
11	0.3418365502
12	0.3301292131
13	0.3202657054
14	0.3108660917
15	0.3016267601
16	0.2926700322
17	0.2863096112
18	0.2798343045
19	0.2738178773
20	0.2678616604
21	0.2618469732
22	0.2568803449
23	0.2498741087
24	0.2427198712
25	0.2385238819
26	0.2322264777
27	0.2279038979
28	0.2219068381
29	0.2161763106
30	0.2115270228
31	0.206289433
32	0.2025826583
33	0.1987499806
34	0.1953647658
35	0.1917953685
36	0.188453656
37	0.1850012936
38	0.1824100541
39	0.1802489001
40	0.177854004
41	0.174979611
42	0.172512761
43	0.1704159681
44	0.1669232152
45	0.1641708919
46	0.1620820148
47	0.1606646472
48	0.1580847602
49	0.1550956909
