iter	Passed	Remaining
0	22	1085
1	32	782
2	44	704
3	58	676
4	70	637
5	80	591
6	89	547
7	95	502
8	102	466
9	107	430
10	112	400
11	117	372
12	122	347
13	125	323
14	130	303
15	134	285
16	137	267
17	141	251
18	145	237
19	149	224
20	153	211
21	157	200
22	161	189
23	165	179
24	169	169
25	173	159
26	177	151
27	181	142
28	185	134
29	189	126
30	193	118
31	198	111
32	202	104
33	205	96
34	210	90
35	214	83
36	218	76
37	221	70
38	225	63
39	229	57
40	233	51
41	237	45
42	241	39
43	245	33
44	249	27
45	253	22
46	257	16
47	261	10
48	265	5
49	269	0
